,element_no,tri_node_1,tri_node_2,tri_node_3,tri_node_1_x,tri_node_1_y,tri_node_2_x,tri_node_2_y,tri_node_3_x,tri_node_3_y
83,84,9,59,8,2.499999999999999,0.0,2.249999999999998,0.3058993511390133,1.999999999999998,0.0
84,85,47,58,39,2.503210967713378,1.161550039477819,2.748238270483153,0.8320230941953218,2.99610606303216,1.157408320231019
85,86,11,60,10,3.5,0.0,3.249999999999999,0.305899351139013,2.999999999999999,0.0
86,87,49,57,30,4.23499358596483,0.383679001794405,4.014172488394469,0.6955613534704366,3.694843539709155,0.4226175011124291
87,88,44,56,43,1.4578803593991,0.8082402716192769,1.230406326594218,1.116426306819296,0.997282156394609,0.8114914710077723
88,89,13,63,49,4.5,0.0,4.633974596215563,0.3660254037844386,4.23499358596483,0.383679001794405
89,90,36,62,26,0.3953531183916654,1.281619653166405,0.3660254037844388,1.633974596215561,0.0,1.499999999999999
90,91,42,64,5,0.7521186846404371,0.4233860225279155,0.3660254037844384,0.3660254037844384,0.4999999999999988,0.0
91,92,16,61,35,5.0,1.5,4.633974596215563,1.633974596215562,4.573433153873584,1.270601937522286
92,93,46,66,48,2.0231597432481,1.148880181020442,1.852503957278976,0.8142022299896465,2.25,0.700961894323342
93,94,40,68,38,3.241874321670227,0.7071825150522099,3.691691406400508,0.8191799394174538,3.476636378192952,1.147463589555106
94,95,45,67,46,1.772358580597649,1.577213465952082,1.616349805067591,1.190392482400217,2.0231597432481,1.148880181020442
95,96,51,66,44,1.795969305337597,0.4336521442400622,1.852503957278976,0.8142022299896465,1.4578803593991,0.8082402716192769
96,97,49,63,52,4.23499358596483,0.383679001794405,4.633974596215563,0.3660254037844386,4.49619023429853,0.7688990191470646
97,98,53,62,36,0.7203587362195956,1.61090747192633,0.3660254037844388,1.633974596215561,0.3953531183916654,1.281619653166405
98,99,35,61,54,4.573433153873584,1.270601937522286,4.633974596215563,1.633974596215562,4.247375257553084,1.599499652783688
99,100,55,64,42,0.4473916533611351,0.7862515652799107,0.3660254037844384,0.3660254037844384,0.7521186846404371,0.4233860225279155
100,101,46,67,66,2.0231597432481,1.148880181020442,1.616349805067591,1.190392482400217,1.852503957278976,0.8142022299896465
101,102,66,67,44,1.852503957278976,0.8142022299896465,1.616349805067591,1.190392482400217,1.4578803593991,0.8082402716192769
102,103,36,65,53,0.3953531183916654,1.281619653166405,0.8127176335914885,1.200080890080281,0.7203587362195956,1.61090747192633
103,104,56,65,43,1.230406326594218,1.116426306819296,0.8127176335914885,1.200080890080281,0.997282156394609,0.8114914710077723
104,105,44,67,56,1.4578803593991,0.8082402716192769,1.616349805067591,1.190392482400217,1.230406326594218,1.116426306819296
105,106,57,68,30,4.014172488394469,0.6955613534704366,3.691691406400508,0.8191799394174538,3.694843539709155,0.4226175011124291
