,element_no,tri_node_1,tri_node_2,tri_node_3,tri_node_1_x,tri_node_1_y,tri_node_2_x,tri_node_2_y,tri_node_3_x,tri_node_3_y
0,1,41,52,35,4.030930304035739,1.123074737897087,4.49619023429853,0.7688990191470646,4.573433153873584,1.270601937522286
1,2,41,57,52,4.030930304035739,1.123074737897087,4.014172488394469,0.6955613534704366,4.49619023429853,0.7688990191470646
2,3,43,65,55,0.997282156394609,0.8114914710077723,0.8127176335914885,1.200080890080281,0.4473916533611351,0.7862515652799107
3,4,43,55,42,0.997282156394609,0.8114914710077723,0.4473916533611351,0.7862515652799107,0.7521186846404371,0.4233860225279155
4,5,35,54,41,4.573433153873584,1.270601937522286,4.247375257553084,1.599499652783688,4.030930304035739,1.123074737897087
5,6,52,57,49,4.49619023429853,0.7688990191470646,4.014172488394469,0.6955613534704366,4.23499358596483,0.383679001794405
6,7,51,59,48,1.795969305337597,0.4336521442400622,2.249999999999998,0.3058993511390133,2.25,0.700961894323342
7,8,40,58,33,3.241874321670227,0.7071825150522099,2.748238270483153,0.8320230941953218,2.749999999999999,0.4330127018922193
8,9,33,60,40,2.749999999999999,0.4330127018922193,3.249999999999999,0.305899351139013,3.241874321670227,0.7071825150522099
9,10,33,58,48,2.749999999999999,0.4330127018922193,2.748238270483153,0.8320230941953218,2.25,0.700961894323342
10,11,48,59,33,2.25,0.700961894323342,2.249999999999998,0.3058993511390133,2.749999999999999,0.4330127018922193
11,12,40,60,30,3.241874321670227,0.7071825150522099,3.249999999999999,0.305899351139013,3.694843539709155,0.4226175011124291
12,13,55,65,36,0.4473916533611351,0.7862515652799107,0.8127176335914885,1.200080890080281,0.3953531183916654,1.281619653166405
13,14,19,37,18,3.500000000000002,2.0,3.745913491193614,1.569346645067195,4.000000000000003,2.0
14,15,32,37,19,3.250000000000002,1.56698729810778,3.745913491193614,1.569346645067195,3.500000000000002,2.0
15,16,39,50,47,2.99610606303216,1.157408320231019,2.749941924383125,1.571324812332076,2.503210967713378,1.161550039477819
16,17,12,49,30,4.0,0.0,4.23499358596483,0.383679001794405,3.694843539709155,0.4226175011124291
17,18,21,50,20,2.500000000000001,2.0,2.749941924383125,1.571324812332076,3.000000000000002,2.0
18,19,45,46,31,1.772358580597649,1.577213465952082,2.0231597432481,1.148880181020442,2.250000000000001,1.566987298107781
19,20,16,35,15,5.0,1.5,4.573433153873584,1.270601937522286,5.0,1.000000000000001
20,21,23,45,22,1.5,2.0,1.772358580597649,1.577213465952082,2.000000000000001,2.0
21,22,22,45,31,2.000000000000001,2.0,1.772358580597649,1.577213465952082,2.250000000000001,1.566987298107781
